nombre,instagram,website,maps_url
Mar y Fuego- Medellín,https://www.instagram.com/maryfuego.col/,https://www.instagram.com/maryfuego.col/,https://www.google.com/maps/place/Mar+y+Fuego-+Medell%C3%ADn/data=!4m7!3m6!1s0x8e469f6600accb59:0xcc5e31168ccf45d!8m2!3d6.2107082!4d-75.566011!16s%2Fg%2F11g4g4q2g9!19sChIJWcusAGafRo4RXfTMaBHjxQw?authuser=0&hl=en&rclk=1
Casa El Ramal,https://www.instagram.com/casaelramal/,https://www.instagram.com/casaelramal/,https://www.google.com/maps/place/Casa+El+Ramal/data=!4m7!3m6!1s0x8e44292db02cb013:0xd1ffa575e16511c5!8m2!3d6.211906!4d-75.572041!16s%2Fg%2F11t6gc750l!19sChIJE7AssC0pRI4RxRFl4XWl_9E?authuser=0&hl=en&rclk=1
Restaurante Brutal,https://www.instagram.com/restaurantebrutal?igsh=MTh3bDdqbmtjenAxYQ==,https://www.instagram.com/restaurantebrutal?igsh=MTh3bDdqbmtjenAxYQ==,https://www.google.com/maps/place/Restaurante+Brutal/data=!4m7!3m6!1s0x8e468287a32fa8e5:0x80b4b758d4ccc55e!8m2!3d6.1989793!4d-75.5726005!16s%2Fg%2F11f_c3sp6z!19sChIJ5agvo4eCRo4RXsXM1Fi3tIA?authuser=0&hl=en&rclk=1
Toro Restaurante,https://www.instagram.com/toro_restaurante?igsh=d2Z2c3Z5ZzhuZHJs,https://www.instagram.com/toro_restaurante?igsh=d2Z2c3Z5ZzhuZHJs,https://www.google.com/maps/place/Toro+Restaurante/data=!4m7!3m6!1s0x8e442997987916f3:0x3442ab5c3f4e5d78!8m2!3d6.2377986!4d-75.5997288!16s%2Fg%2F11d_tm16km!19sChIJ8xZ5mJcpRI4ReF1OP1yrQjQ?authuser=0&hl=en&rclk=1
Mercado del Río,https://www.instagram.com/mercadodelriomedellin/?hl=es,https://www.instagram.com/mercadodelriomedellin/?hl=es,https://www.google.com/maps/place/Mercado+del+R%C3%ADo/data=!4m7!3m6!1s0x8e4429cac347588f:0xc5161940357a8cc0!8m2!3d6.2259781!4d-75.5754299!16s%2Fg%2F11clv7wh19!19sChIJj1hHw8opRI4RwIx6NUAZFsU?authuser=0&hl=en&rclk=1
Del Patio Bar,https://instagram.com/delpatiobar?igshid=7l7dfzkdkgh7,https://instagram.com/delpatiobar?igshid=7l7dfzkdkgh7,https://www.google.com/maps/place/Del+Patio+Bar/data=!4m7!3m6!1s0x8e4429a6ed2daff1:0xb41c5cb6d9a771!8m2!3d6.245037!4d-75.5896293!16s%2Fg%2F11c2pntk0m!19sChIJ8a8t7aYpRI4RcafZtlwctAA?authuser=0&hl=en&rclk=1
RESTAURANTE EL FOGON COSTEÑO,https://instagram.com/elfogoncosteno?igshid=d3a2xzn09atf,https://instagram.com/elfogoncosteno?igshid=d3a2xzn09atf,https://www.google.com/maps/place/RESTAURANTE+EL+FOGON+COSTE%C3%91O/data=!4m7!3m6!1s0x8e44290a1850d897:0x39e689ff4c0a355c!8m2!3d6.2476811!4d-75.5908252!16s%2Fg%2F1ptz4cyn0!19sChIJl9hQGAopRI4RXDUKTP-J5jk?authuser=0&hl=en&rclk=1
Café Cliché,http://instagram.com/cafeclichemedellin,http://instagram.com/cafeclichemedellin,https://www.google.com/maps/place/Caf%C3%A9+Clich%C3%A9/data=!4m7!3m6!1s0x8e4429a06efbd52b:0x25bd540f840df714!8m2!3d6.247598!4d-75.5969702!16s%2Fg%2F11c1q46_dm!19sChIJK9X7bqApRI4RFPcNhA9UvSU?authuser=0&hl=en&rclk=1
Coffee Parche,https://www.instagram.com/coffeeparche?igsh=MXhnenlrN2ViYWZtaQ==,https://www.instagram.com/coffeeparche?igsh=MXhnenlrN2ViYWZtaQ==,https://www.google.com/maps/place/Coffee+Parche/data=!4m7!3m6!1s0x8e442904ccbc39cf:0x28ccbcf7a73ef5b9!8m2!3d6.2695852!4d-75.5949401!16s%2Fg%2F11vhs1xj0x!19sChIJzzm8zAQpRI4RufU-p_e8zCg?authuser=0&hl=en&rclk=1
Café Zeppelin,https://www.instagram.com/zeppelinmedellin,https://www.instagram.com/zeppelinmedellin,https://www.google.com/maps/place/Caf%C3%A9+Zeppelin/data=!4m7!3m6!1s0x8e44299f7d809b6d:0x86ccf77109148212!8m2!3d6.2462703!4d-75.5975922!16s%2Fg%2F11ckqt10f3!19sChIJbZuAfZ8pRI4REoIUCXH3zIY?authuser=0&hl=en&rclk=1
Café Orígenes Antioquia,https://www.instagram.com/cafeorigenesantioquia/,https://www.instagram.com/cafeorigenesantioquia/,https://www.google.com/maps/place/Caf%C3%A9+Or%C3%ADgenes+Antioquia/data=!4m7!3m6!1s0x8e442949aedfe957:0xc969dc64d3f1a9d7!8m2!3d6.2440483!4d-75.5757612!16s%2Fg%2F11v0ykkjpd!19sChIJV-nfrkkpRI4R16nx02Tcack?authuser=0&hl=en&rclk=1
Dulce Suiza,https://www.instagram.com/dulcesuizamedellin/,https://www.instagram.com/dulcesuizamedellin/,https://www.google.com/maps/place/Dulce+Suiza/data=!4m7!3m6!1s0x8e4429af226ebf71:0xc97cc4144df24f5e!8m2!3d6.2429101!4d-75.5790519!16s%2Fg%2F11clhrl64p!19sChIJcb9uIq8pRI4RXk_yTRTEfMk?authuser=0&hl=en&rclk=1
Vibras Café,https://www.instagram.com/vibras_cafe?igsh=NnQ1d2lucTczNnZv,https://www.instagram.com/vibras_cafe?igsh=NnQ1d2lucTczNnZv,https://www.google.com/maps/place/Vibras+Caf%C3%A9/data=!4m7!3m6!1s0x8e4429d2a79f487d:0xcfa2ba78307ea2c!8m2!3d6.2352623!4d-75.6024491!16s%2Fg%2F11h5vk2ckt!19sChIJfUifp9IpRI4RLOoHg6cr-gw?authuser=0&hl=en&rclk=1
Café Primavera,https://www.instagram.com/cafeprimaveramed/,https://www.instagram.com/cafeprimaveramed/,https://www.google.com/maps/place/Caf%C3%A9+Primavera/data=!4m7!3m6!1s0x8e4429d40caa405d:0x500ae1a37180b728!8m2!3d6.2408718!4d-75.5920674!16s%2Fg%2F11k530441c!19sChIJXUCqDNQpRI4RKLeAcaPhClA?authuser=0&hl=en&rclk=1
Candelaria.cafe.bar,http://instagram.com/candelaria.cafe.bar,http://instagram.com/candelaria.cafe.bar,https://www.google.com/maps/place/Candelaria.cafe.bar/data=!4m7!3m6!1s0x8e4429d173b2559f:0x2799fb11d00c32b1!8m2!3d6.249232!4d-75.5624366!16s%2Fg%2F11qz9lmh0z!19sChIJn1Wyc9EpRI4RsTIM0BH7mSc?authuser=0&hl=en&rclk=1
